heaviest queen weight,row location of heaviest queen,col location of heaviest queen,lightest queen weight,row location of lightest queen,col location of lightest queen,initial conflicts,n,average value including 0,lightest in conflict,heaviest in conflict,average in conflict,smallest d in conflict,smallest row d in conflict,smallest d in conflict,largest d in conflict,largest row d in conflict,largest d in conflict,average d in conflict
2,1,1,1,0,3,3,4,0.4375,1,2,1.666666667,1.414213562,-1,-1,4.242640687,-3,3,3.299831646
2,0,1,1,1,3,0,4,0.4375,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,1,1,4,0.875,5,5,5,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
5,0,2,1,3,1,0,4,0.875,0,0,0,0,0,0,0,0,0,0
7,3,2,1,1,1,2,4,0.9375,1,2,1.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
7,3,2,1,0,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
7,3,2,2,2,1,5,4,1.3125,2,7,4.8,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
7,0,2,2,3,1,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
8,1,2,1,0,0,1,4,1.0625,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,0,2,1,1,0,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
7,0,1,6,2,3,5,4,1.625,6,7,6.4,1.414213562,-1,-1,2.828427125,-2,-2,2.2627417
7,0,1,6,1,3,0,4,1.625,0,0,0,0,0,0,0,0,0,0
8,3,1,1,1,2,3,4,1.375,1,8,5.333333333,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,1,1,3,2,0,4,1.375,0,0,0,0,0,0,0,0,0,0
6,1,2,1,0,3,3,4,0.5625,1,6,2.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,0,2,1,1,0,0,4,0.5625,0,0,0,0,0,0,0,0,0,0
8,2,0,1,0,1,1,4,0.9375,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,2,0,1,0,1,0,4,0.9375,0,0,0,0,0,0,0,0,0,0
3,3,1,1,0,0,1,4,0.5,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
3,3,1,1,1,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0
6,3,2,2,0,3,2,4,0.8125,2,3,2.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
6,3,2,2,1,3,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
8,0,1,3,1,0,6,4,1.4375,3,8,5.833333333,1.414213562,-1,1,2.828427125,-2,-2,1.885618083
8,0,1,3,2,0,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
8,1,0,3,0,3,5,4,1.4375,3,8,5.4,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
8,0,2,3,2,3,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
5,0,1,1,1,2,1,4,0.8125,1,1,1,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
5,0,1,1,3,2,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
8,0,3,1,2,1,5,4,1.5625,1,8,5.2,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
8,0,2,1,3,1,0,4,1.5625,0,0,0,0,0,0,0,0,0,0
8,0,2,2,2,1,3,4,1.3125,2,7,4.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,3,2,2,0,1,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
6,0,2,3,2,0,6,4,1.1875,3,6,4.833333333,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
6,0,2,3,1,0,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,0,3,2,1,0,5,4,1,2,8,4,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
8,2,3,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
4,0,0,2,2,3,1,4,0.6875,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
4,1,0,2,2,3,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
8,1,1,2,0,2,7,4,1.1875,2,8,4.714285714,1.414213562,-1,1,2.828427125,-2,2,2.020305089
8,0,1,2,3,2,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
4,0,0,1,3,1,1,4,0.6875,2,2,2,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
4,0,2,1,3,1,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
5,1,2,1,0,0,3,4,0.8125,3,5,4,1.414213562,-1,1,4.242640687,-3,-3,2.357022604
5,0,2,1,1,0,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
7,0,3,4,1,0,5,4,1.1875,4,7,4.6,1.414213562,-1,-1,2.828427125,-2,2,2.2627417
7,2,3,4,0,2,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
8,1,3,2,2,1,1,4,1.0625,3,3,3,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,3,2,0,1,0,4,1.0625,0,0,0,0,0,0,0,0,0,0
6,1,0,2,3,2,6,4,1.1875,2,6,4.5,1.414213562,-1,1,2.828427125,-2,-2,1.885618083
6,1,0,2,0,2,0,4,1.1875,0,0,0,0,0,0,0,0,0,0
5,0,2,2,1,1,2,4,0.8125,2,5,3.5,1.414213562,-1,1,1.414213562,-1,1,1.414213562
5,0,2,2,2,3,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
6,1,3,1,2,0,6,4,0.8125,1,6,3.666666667,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
6,2,3,1,1,0,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
8,0,1,4,2,2,3,4,1.3125,4,8,5.666666667,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,1,4,1,3,0,4,1.3125,0,0,0,0,0,0,0,0,0,0
4,1,0,2,2,3,0,4,0.75,0,0,0,0,0,0,0,0,0,0
4,1,0,2,2,3,0,4,0.75,0,0,0,0,0,0,0,0,0,0
6,0,2,1,2,1,3,4,1,1,5,3.333333333,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
